product_id,product_name,category,unit_weight_kg,unit_price,supplier_id
PRD00034,Business-focused upward-trending hub,Automotive,10.35,1215.82,SUP0013
PRD00035,Face-to-face scalable focus group,Toys,14.85,113.87,SUP0016
PRD00036,Future-proofed 3rdgeneration methodology,Industrial,19.36,485.96,SUP0041
PRD00037,Organic leadingedge policy,Apparel,26.46,1955.51,SUP0024
PRD00038,Horizontal hybrid complexity,Pharma,6.69,1722.32,SUP0037
PRD00039,Centralized transitional knowledge user,Toys,18.33,1367.47,SUP0031
PRD00040,Devolved uniform initiative,Apparel,0.93,139.73,SUP0017
PRD00041,Virtual incremental secured line,Furniture,2.09,125.64,SUP0026
PRD00042,De-engineered radical challenge,Automotive,31.47,1004.59,SUP0027
PRD00043,Monitored 3rdgeneration open architecture,Toys,35.12,169.44,SUP0035
PRD00044,Cross-group value-added matrix,Grocery,13.95,623.26,SUP0033
PRD00045,Up-sized responsive leverage,Furniture,48.72,314.98,SUP0021
PRD00046,Networked actuating complexity,Toys,29.36,1527.63,SUP0042
PRD00047,Re-contextualized tangible portal,Apparel,15.58,877.78,SUP0016
PRD00048,Cloned zero administration time-frame,Electronics,12.3,1849.63,SUP0008
PRD00049,Fundamental 3rdgeneration infrastructure,Industrial,30.65,114.78,SUP0043
PRD00050,Progressive systematic monitoring,Grocery,6.06,1417.26,SUP0045
PRD00051,Fundamental asymmetric core,Electronics,8.28,1906.27,SUP0034
PRD00052,Exclusive dedicated knowledgebase,Automotive,8.43,258.23,SUP0018
PRD00053,Focused background capacity,Apparel,38.59,63.57,SUP0028
PRD00054,Intuitive heuristic structure,Automotive,26.24,529.58,SUP0037
PRD00055,Down-sized dedicated hardware,Apparel,24.86,1024.01,SUP0004
PRD00056,Open-architected bi-directional Local Area Network,Industrial,42.98,337.93,SUP0011
PRD00057,Quality-focused attitude-oriented Local Area Network,Automotive,38.69,1789.07,SUP0044
PRD00058,Advanced demand-driven concept,Apparel,11.5,1020.11,SUP0003
PRD00059,Synergistic bi-directional artificial intelligence,Electronics,12.3,946.17,SUP0025
PRD00060,Robust cohesive ability,Grocery,9.03,1920.88,SUP0003
PRD00061,Multi-tiered bifurcated definition,Toys,11.3,500.29,SUP0021
PRD00062,Versatile interactive encoding,Automotive,41.32,1145.21,SUP0008
PRD00063,Profound static functionalities,Electronics,9.05,1609.65,SUP0003
PRD00064,De-engineered maximized methodology,Toys,3.54,932.86,SUP0019
PRD00065,Quality-focused object-oriented hardware,Automotive,16.43,1108.42,SUP0001
PRD00066,Multi-tiered bottom-line core,Pharma,10.11,1129.79,SUP0020
PRD00067,Extended local archive,Furniture,23.25,1185.42,SUP0032
PRD00068,Synchronized needs-based frame,Furniture,36.65,1095.39,SUP0016
PRD00069,Integrated empowering parallelism,Grocery,0.42,823.02,SUP0015
PRD00070,Business-focused uniform concept,Pharma,31.83,1388.45,SUP0001
PRD00071,Reduced fresh-thinking application,Pharma,0.17,1316.32,SUP0020
PRD00072,Digitized hybrid frame,Apparel,10.34,1966.32,SUP0027
PRD00073,Profound 6thgeneration attitude,Industrial,48.06,1945.26,SUP0010
PRD00074,Optional even-keeled forecast,Automotive,4.74,1842.94,SUP0034
PRD00075,Business-focused disintermediate knowledge user,Toys,35.07,748.12,SUP0006
PRD00076,Expanded systemic extranet,Apparel,25.32,1276.25,SUP0026
PRD00077,Customer-focused hybrid leverage,Apparel,29.64,129.25,SUP0043
PRD00078,Public-key bi-directional circuit,Grocery,11.91,525.68,SUP0021
PRD00079,Persistent user-facing utilization,Toys,35.07,1472.03,SUP0021
PRD00080,Proactive static migration,Industrial,13.67,154.0,SUP0013
PRD00081,Down-sized contextually-based archive,Grocery,39.02,1171.49,SUP0010
PRD00082,Advanced cohesive productivity,Apparel,8.3,934.78,SUP0027
PRD00083,Cross-group mobile parallelism,Apparel,26.84,1929.45,SUP0014
PRD00084,Public-key contextually-based benchmark,Industrial,15.48,533.69,SUP0008
PRD00085,Self-enabling content-based firmware,Apparel,7.97,1373.68,SUP0045
PRD00086,Programmable intangible concept,Electronics,10.83,1713.86,SUP0010
PRD00087,Re-engineered needs-based Graphical User Interface,Apparel,35.59,1936.96,SUP0026
PRD00088,User-centric mobile toolset,Electronics,33.89,524.03,SUP0012
PRD00089,Upgradable systemic portal,Electronics,47.61,1709.93,SUP0036
PRD00090,Organic discrete task-force,Furniture,4.83,208.31,SUP0009
PRD00091,Optimized discrete moratorium,Apparel,0.7,1661.59,SUP0015
PRD00092,Fully-configurable bifurcated migration,Grocery,9.99,804.16,SUP0044
PRD00093,Enhanced needs-based software,Apparel,29.16,521.35,SUP0005
PRD00094,Intuitive incremental algorithm,Electronics,49.86,399.51,SUP0042
PRD00095,Mandatory discrete orchestration,Industrial,40.48,188.5,SUP0022
PRD00096,Versatile local support,Apparel,2.23,924.68,SUP0011
PRD00097,Ameliorated modular toolset,Toys,41.1,793.02,SUP0002
PRD00098,Total optimizing moratorium,Toys,34.19,349.75,SUP0014
PRD00099,Up-sized scalable interface,Grocery,13.82,894.79,SUP0010
PRD00100,Open-architected systemic capability,Electronics,30.74,1235.87,SUP0042
PRD00101,Persevering mission-critical standardization,Automotive,24.99,1766.14,SUP0031
PRD00102,Centralized impactful methodology,Electronics,4.48,769.12,SUP0027
PRD00103,Front-line impactful model,Furniture,32.17,1595.41,SUP0016
PRD00104,Vision-oriented client-server utilization,Electronics,49.47,1564.92,SUP0023
PRD00105,Advanced high-level task-force,Industrial,27.27,971.94,SUP0037
PRD00106,Adaptive homogeneous moratorium,Pharma,19.48,363.73,SUP0021
PRD00107,Digitized attitude-oriented protocol,Furniture,1.56,1622.33,SUP0018
PRD00108,Down-sized contextually-based definition,Electronics,40.45,946.01,SUP0023
PRD00109,Self-enabling grid-enabled Graphic Interface,Furniture,48.7,204.77,SUP0043
PRD00110,Synergistic cohesive array,Furniture,13.4,1633.49,SUP0004
PRD00111,Object-based systematic protocol,Furniture,28.83,1965.42,SUP0025
PRD00112,Multi-lateral 24/7 time-frame,Pharma,46.77,1983.13,SUP0012
PRD00113,Managed needs-based knowledge user,Grocery,11.9,639.42,SUP0045
PRD00114,Customer-focused systemic firmware,Pharma,45.71,61.27,SUP0045
PRD00115,Open-architected non-volatile collaboration,Pharma,47.38,1129.39,SUP0037
PRD00116,Upgradable asynchronous model,Furniture,41.85,1621.75,SUP0032
PRD00117,Streamlined zero administration conglomeration,Automotive,8.86,80.74,SUP0004
PRD00118,Compatible object-oriented challenge,Furniture,30.12,44.76,SUP0031
PRD00119,Inverse non-volatile infrastructure,Electronics,16.65,1230.2,SUP0009
PRD00120,Persevering web-enabled policy,Pharma,35.88,1837.97,SUP0021
PRD00121,Balanced next generation parallelism,Electronics,1.19,1175.29,SUP0010
PRD00122,Public-key zero administration software,Apparel,42.34,1722.04,SUP0005
PRD00123,Future-proofed disintermediate Internet solution,Pharma,35.26,1325.97,SUP0038
PRD00124,Secured real-time moratorium,Apparel,16.89,648.59,SUP0011
PRD00125,Horizontal zero tolerance moratorium,Toys,39.61,1921.52,SUP0042
PRD00126,Ameliorated cohesive capacity,Pharma,8.79,1937.64,SUP0045
PRD00127,Automated full-range website,Pharma,11.24,1179.96,SUP0012
PRD00128,Automated real-time solution,Toys,15.41,1378.55,SUP0009
PRD00129,Upgradable discrete protocol,Grocery,36.47,1897.83,SUP0037
PRD00130,Quality-focused intermediate success,Toys,42.55,1542.81,SUP0037
PRD00131,Right-sized transitional solution,Electronics,9.19,639.84,SUP0040
PRD00132,Function-based motivating frame,Furniture,32.02,212.7,SUP0032
PRD00133,Stand-alone clear-thinking framework,Grocery,16.63,160.22,SUP0023
PRD00134,Robust global support,Pharma,8.48,1771.21,SUP0006
PRD00135,Seamless multimedia neural-net,Pharma,22.39,534.1,SUP0016
PRD00136,Self-enabling asymmetric project,Apparel,17.59,1575.1,SUP0001
PRD00137,Configurable executive hardware,Electronics,19.36,1466.51,SUP0011
PRD00138,Organized responsive moratorium,Toys,24.7,760.53,SUP0035
PRD00139,Profit-focused logistical workforce,Toys,5.16,961.58,SUP0037
PRD00140,Versatile 5thgeneration solution,Furniture,8.22,152.05,SUP0003
PRD00141,Streamlined leadingedge array,Automotive,1.1,525.95,SUP0007
PRD00142,Multi-channeled context-sensitive encoding,Apparel,17.16,1776.42,SUP0011
PRD00143,Quality-focused impactful knowledge user,Apparel,27.4,1796.76,SUP0006
PRD00144,Networked mission-critical customer loyalty,Pharma,29.74,1229.22,SUP0031
PRD00145,Quality-focused zero administration protocol,Electronics,21.62,1309.0,SUP0039
PRD00146,Enterprise-wide 4thgeneration pricing structure,Toys,7.94,207.01,SUP0014
PRD00147,Organized even-keeled implementation,Furniture,20.52,1110.45,SUP0035
PRD00148,Vision-oriented asynchronous pricing structure,Automotive,33.06,598.31,SUP0007
PRD00149,Cloned uniform product,Electronics,19.71,1101.58,SUP0032
PRD00150,Switchable maximized methodology,Grocery,2.82,12.61,SUP0006
